@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute outputs_annie-1 numeric
@attribute outputs_annie-2 numeric
@attribute outputs_annie-3 numeric
@attribute outputs_annie-4 numeric
@attribute outputs_annie-5 numeric
@attribute outputs_annie-6 numeric

@data
159,'2017/02/12 13:21:19:969',6,386.668213,226.024719,4.614425,0.004561,-0.022256,0.056143,13.294857,11.315959,7.77601,7.761918,2.437157,2.395733,28.679878,5.692209,0,0,0,?,?,?
160,'2017/02/12 13:21:20:011',6,381.629303,225.111938,4.614314,-0.003438,-0.009499,0.059148,13.322037,11.421191,7.736384,7.736069,2.440968,2.41928,28.704954,5.74986,0,0,0,?,?,?
161,'2017/02/12 13:21:20:047',6,376.134979,223.604202,4.597776,0.002197,-0.004412,0.060697,13.493279,11.382169,7.784848,7.789218,2.399724,2.402346,28.855579,5.759573,0,0,0,?,?,?
162,'2017/02/12 13:21:20:070',6,371.508179,222.003082,4.578598,-0.01003,0.000008,0.050883,13.415773,11.144514,7.710299,7.71396,2.487266,2.489081,28.836212,5.694323,0,0,0,?,?,?
163,'2017/02/12 13:21:20:115',6,367.001648,220.374802,4.570084,-0.01665,0.006891,0.042701,13.426582,11.29737,7.764069,7.777502,2.465245,2.472894,28.896784,5.711087,0,0,0,?,?,?
164,'2017/02/12 13:21:20:143',6,363.166809,218.596756,4.546207,-0.027346,0.01338,0.036382,13.5631,11.188841,7.715082,7.711443,2.469325,2.461842,29.022375,5.70778,0,0,0,?,?,?
165,'2017/02/12 13:21:20:177',6,359.432739,217.507156,4.52916,-0.042607,0.01783,0.033505,13.554192,11.370974,7.815203,7.810497,2.375323,2.377274,28.883018,5.722074,0,0,0,?,?,?
166,'2017/02/12 13:21:20:203',6,356.677277,216.403412,4.521929,-0.053251,0.024938,0.02658,13.666917,11.254556,7.781716,7.768231,2.452143,2.44922,28.972233,5.793291,0,0,0,?,?,?
167,'2017/02/12 13:21:20:246',6,355.022217,215.121292,4.511469,-0.05132,0.019576,0.026282,13.623486,11.383327,7.842041,7.830637,2.420178,2.433103,28.906765,5.81059,0,0,0,?,?,?
168,'2017/02/12 13:21:20:267',6,355.106384,214.584381,4.503238,-0.065585,0.019628,0.024322,13.717211,11.161356,7.771953,7.753136,2.416977,2.414701,28.910625,5.810168,0,0,0,?,?,?
