@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs_yue-1 numeric
@attribute outputs_yue-2 numeric
@attribute outputs_yue-3 numeric
@attribute outputs_yue-4 numeric
@attribute outputs_yue-5 numeric
@attribute outputs_yue-6 numeric

@data
385,'2017/02/12 13:42:59:151',6,97.999634,0.000523,0.141346,85.655289,0.000919,0.000112,0,0.793229,87.755623,86.894974,8.746375,0.000016,0.012034,0.00018,0.027895,0.000003,99.993988,46.33131,99.998459,92.74942,0,0.000107,31.661076,99.92099,99.930275,0.000378,70.877342,4.128899,2.541844,-8.5161,-5.915356,154.666245,0,0,0,0,0,0
386,'2017/02/12 13:42:59:171',6,97.999634,0.000523,0.141346,85.655289,0.000919,0.000112,0,0.793229,87.755623,86.894974,8.746375,0.000016,0.012034,0.00018,0.027895,0.000003,99.993988,46.33131,99.998459,92.74942,0,0.000107,31.661076,99.92099,99.930275,0.000378,70.877342,4.128899,2.541844,-8.5161,-5.915356,154.666245,0,0,0,0,0,0
387,'2017/02/12 13:42:59:199',6,97.999634,0.000523,0.141346,85.655289,0.000919,0.000112,0,0.793229,87.755623,86.894974,8.746375,0.000016,0.012034,0.00018,0.027895,0.000003,99.993988,46.33131,99.998459,92.74942,0,0.000107,31.661076,99.92099,99.930275,0.000378,70.877342,4.128899,2.541844,-8.5161,-5.915356,154.666245,0,0,0,0,0,0
388,'2017/02/12 13:42:59:247',6,97.999634,0.000523,0.141346,85.655289,0.000919,0.000112,0,0.793229,87.755623,86.894974,8.746375,0.000016,0.012034,0.00018,0.027895,0.000003,99.993988,46.33131,99.998459,92.74942,0,0.000107,31.661076,99.92099,99.930275,0.000378,70.877342,4.128899,2.541844,-8.5161,-5.915356,154.666245,0,0,0,0,0,0
389,'2017/02/12 13:42:59:260',6,97.591774,0.000598,0.224571,90.937973,0.000582,0.00014,0,2.726671,84.854073,87.847504,7.783324,0.000014,0.01347,0.00024,0.030667,0.000002,99.995125,34.113331,99.998222,93.983719,0,0.000107,9.610883,99.92099,99.930084,0.000311,69.138359,10.490845,3.490492,-8.308131,-4.991557,156.957657,0,0,0,0,0,0
390,'2017/02/12 13:42:59:264',6,97.591774,0.000598,0.224571,90.937973,0.000582,0.00014,0,2.726671,84.854073,87.847504,7.783324,0.000014,0.01347,0.00024,0.030667,0.000002,99.995125,34.113331,99.998222,93.983719,0,0.000107,9.610883,99.92099,99.930084,0.000311,69.138359,10.490845,3.490492,-8.308131,-4.991557,156.957657,0,0,0,0,0,0
391,'2017/02/12 13:42:59:317',6,97.591774,0.000598,0.224571,90.937973,0.000582,0.00014,0,2.726671,84.854073,87.847504,7.783324,0.000014,0.01347,0.00024,0.030667,0.000002,99.995125,34.113331,99.998222,93.983719,0,0.000107,9.610883,99.92099,99.930084,0.000311,69.138359,10.490845,3.490492,-8.308131,-4.991557,156.957657,0,0,0,0,0,0
392,'2017/02/12 13:42:59:333',6,97.591774,0.000598,0.224571,90.937973,0.000582,0.00014,0,2.726671,84.854073,87.847504,7.783324,0.000014,0.01347,0.00024,0.030667,0.000002,99.995125,34.113331,99.998222,93.983719,0,0.000107,9.610883,99.92099,99.930084,0.000311,69.138359,10.490845,3.490492,-8.308131,-4.991557,156.957657,0,0,0,0,0,0
393,'2017/02/12 13:42:59:359',6,97.720383,0.000995,0.343773,89.990005,0.000573,0.000147,0,5.495021,81.644981,85.898628,7.261045,0.000011,0.015582,0.000316,0.028161,0.000001,99.993935,26.834953,99.998047,94.501312,0,0.000107,4.202142,99.92099,99.92981,0.00025,67.177109,14.833214,3.209482,-8.23142,-6.017453,156.661667,0,0,0,0,0,0
394,'2017/02/12 13:42:59:382',6,97.720383,0.000995,0.343773,89.990005,0.000573,0.000147,0,5.495021,81.644981,85.898628,7.261045,0.000011,0.015582,0.000316,0.028161,0.000001,99.993935,26.834953,99.998047,94.501312,0,0.000107,4.202142,99.92099,99.92981,0.00025,67.177109,14.833214,3.209482,-8.23142,-6.017453,156.661667,0,0,0,0,0,0
395,'2017/02/12 13:42:59:415',6,97.720383,0.000995,0.343773,89.990005,0.000573,0.000147,0,5.495021,81.644981,85.898628,7.261045,0.000011,0.015582,0.000316,0.028161,0.000001,99.993935,26.834953,99.998047,94.501312,0,0.000107,4.202142,99.92099,99.92981,0.00025,67.177109,14.833214,3.209482,-8.23142,-6.017453,156.661667,0,0,0,0,0,0
396,'2017/02/12 13:42:59:439',6,97.554749,0.000989,0.420926,87.627258,0.000549,0.000186,0,6.134978,82.011322,90.003937,6.087782,0.000012,0.008971,0.000398,0.032988,0.000001,99.994751,26.118919,99.997124,95.490196,0,0.000107,4.004121,99.920975,99.929619,0.000256,67.504456,14.588881,3.568659,-6.897672,-6.191857,155.808578,0,0,0,0,0,0
397,'2017/02/12 13:42:59:453',6,97.554749,0.000989,0.420926,87.627258,0.000549,0.000186,0,6.134978,82.011322,90.003937,6.087782,0.000012,0.008971,0.000398,0.032988,0.000001,99.994751,26.118919,99.997124,95.490196,0,0.000107,4.004121,99.920975,99.929619,0.000256,67.504456,14.588881,3.568659,-6.897672,-6.191857,155.808578,0,0,0,0,0,0
398,'2017/02/12 13:42:59:471',6,97.554749,0.000989,0.420926,87.627258,0.000549,0.000186,0,6.134978,82.011322,90.003937,6.087782,0.000012,0.008971,0.000398,0.032988,0.000001,99.994751,26.118919,99.997124,95.490196,0,0.000107,4.004121,99.920975,99.929619,0.000256,67.504456,14.588881,3.568659,-6.897672,-6.191857,155.808578,0,0,0,0,0,0
399,'2017/02/12 13:42:59:498',6,97.554749,0.000989,0.420926,87.627258,0.000549,0.000186,0,6.134978,82.011322,90.003937,6.087782,0.000012,0.008971,0.000398,0.032988,0.000001,99.994751,26.118919,99.997124,95.490196,0,0.000107,4.004121,99.920975,99.929619,0.000256,67.504456,14.588881,3.568659,-6.897672,-6.191857,155.808578,0,0,0,0,0,0
400,'2017/02/12 13:42:59:551',6,97.554749,0.000989,0.420926,87.627258,0.000549,0.000186,0,6.134978,82.011322,90.003937,6.087782,0.000012,0.008971,0.000398,0.032988,0.000001,99.994751,26.118919,99.997124,95.490196,0,0.000107,4.004121,99.920975,99.929619,0.000256,67.504456,14.588881,3.568659,-6.897672,-6.191857,155.808578,0,0,0,0,0,0
401,'2017/02/12 13:42:59:569',6,97.554749,0.000989,0.420926,87.627258,0.000549,0.000186,0,6.134978,82.011322,90.003937,6.087782,0.000012,0.008971,0.000398,0.032988,0.000001,99.994751,26.118919,99.997124,95.490196,0,0.000107,4.004121,99.920975,99.929619,0.000256,67.504456,14.588881,3.568659,-6.897672,-6.191857,155.808578,0,0,0,0,0,0
